Codice_Turno,Nome_Turno,Deposito,Giorno,Turno_Ora_Inizio,Turno_Ora_Fine,Corsa_Linea,Corsa_Da,Corsa_A,Corsa_Ora_Partenza,Corsa_Ora_Arrivo
,,Torino - Deposito,Giovedì,16:35,01:25,268,Caselle Aeroporto,PAUSA 22:15 -,21:30,23:00
,,Torino - Deposito,Giovedì,16:35,01:25,268,To - piazza carlo felice,Caselle Aeroporto,23:00,23:37
,,Torino - Deposito,Giovedì,16:35,01:25,268,Caselle Aeroporto,To - piazza carlo felice,00:00,00:45
,,Torino - Deposito,Giovedì,16:05,00:55,268,To - piazza carlo felice,Caselle Aeroporto,16:45,17:30
,,Torino - Deposito,Giovedì,16:05,00:55,268,Caselle Aeroporto,To - piazza carlo felice,17:45,18:24
,,Torino - Deposito,Giovedì,16:05,00:55,268,To - piazza carlo felice,Caselle Aeroporto,18:45,19:30
,,Torino - Deposito,Giovedì,16:05,00:55,268,Caselle Aeroporto,PAUSA 20:39 -,20:00,22:30
,,Torino - Deposito,Giovedì,16:05,00:55,268,To - piazza carlo felice,Caselle Aeroporto,22:30,23:15
,,Torino - Deposito,Giovedì,16:05,00:55,268,Caselle Aeroporto,Torino - Deposito,23:30,00:45
,,Torino - Deposito,Giovedì,15:35,00:19,268,To - piazza carlo felice,Caselle Aeroporto,16:15,17:00
,,Torino - Deposito,Giovedì,15:35,00:19,268,Caselle Aeroporto,To - piazza carlo felice,17:30,18:15
,,Torino - Deposito,Giovedì,15:35,00:19,268,To - piazza carlo felice,PAUSA 19:15 -,18:30,20:30
,,Torino - Deposito,Giovedì,15:35,00:19,268,Caselle Aeroporto,To - piazza carlo felice,20:30,21:15
,,Torino - Deposito,Giovedì,15:35,00:19,268,To - piazza carlo felice,PAUSA 22:15 -,21:30,23:00
,,Torino - Deposito,Giovedì,15:35,00:19,268,Caselle Aeroporto,To - piazza carlo felice,23:00,23:39
,,Torino - Deposito,Giovedì,12:45,23:21,105,TO-Quarello - Navetta Uni,TO-Quarello - Navetta Università .......1...3..:..1..0.... .T..o..r..i.n..o.. .-. .D...e..p..o..s..i.t.o,18:15,19:15
,,Torino - Deposito,Giovedì,12:45,23:21,105,TO-Quarello - Navetta Uni,Torino - Deposito,13:10,21:55
,,Torino - Deposito,Giovedì,12:45,23:21,105,TO - M.D'Azeglio Cap,Airasca - stabilimento skf,13:42,17:00
